,l,b,age (years),distance (kpc),type_x,name,RA (hh),RA (mm),RA (ss),Dec (deg),Dec (min),type_y,semimaj_axis (arcmin),semimin_axis (arcmin),best-fit S_1GHz,1-GHz,spectral,best-fit alpha,diam,confidence,Surface brightness (W/m2/Hz/sr),err in dist,dist known,r,theta
196,38.7,-1.3,,10.720744325146004,,38.7-1.3,19,6,40,4,28,S,32,19?,0.0,?,?,0.0,25.5,,,10.720744325146004,0.0,6.713094749431868,93.13212743770616
197,39.2,-0.3,,10.689812432285693,,39.2-0.3,19,4,8,5,28,C,8,6,62.079640489767115,18,0.34,-0.16524613178587874,7.0,0.5,5.642728464432585e-20,10.689812432285693,0.0,6.7622415043053765,92.40710608244427
198,39.7,-2.0,,10.658601505037268,,39.7-2.0,19,12,20,4,55,?,120,60,85.88860510943583,85?,0.7?,0.5580867565763893,90.0,1.0,1.785699993144802e-21,10.658601505037268,0.0,6.811329822935994,91.68869529134471
199,40.5,-0.5,,10.608094355326255,,40.5-0.5,19,7,10,6,31,S,22,22,12.067951167365846,11,0.4,0.491418855903008,22.0,1.0,3.585845307664906e-21,10.608094355326255,0.0,6.889726710726277,90.55268305795236
200,41.1,-0.3,,10.569763120485963,,41.1-0.3,19,7,34,7,8,S,4.5,2.5,69.34412792784482,25,0.50,0.19857576114957035,3.5,0.5,3.343839090034123e-19,10.569763120485963,0.0,6.948388847554143,89.71128109274635
201,42.0,-0.1,,10.511559850109792,,42.0-0.1,19,8,10,8,0,S?,8,8,0.0,0.5?,?,0.0,8.0,0.5,1.1755684300901214e-21,10.511559850109792,0.0,7.0361288730067875,88.46575196703306
202,43.3,-0.2,,10.426039532688431,,43.3-0.2,19,11,8,9,6,S,4,3,59.35711695702164,38,0.46,-0.004297631970732264,3.5,0.5,4.764970703298625e-19,10.426039532688431,0.0,7.162241245784585,86.70060089618711
203,45.7,-0.4,,10.263904951318109,,45.7-0.4,19,16,25,11,9,S,22,22,0.0,4.2?,0.4?,0.0,22.0,0.5,1.3057553471414245e-21,10.263904951318109,0.0,7.392716358031572,83.54171002668662
204,46.8,-0.3,,10.187864647804329,,46.8-0.3,19,18,10,12,9,S,15,15,22.703992534407803,17,0.54,0.8365740124146339,15.0,1.0,1.327637622669758e-20,10.187864647804329,0.0,7.497160390309037,82.13485021009738
205,49.2,-0.7,,10.0185008317962,,49.2-0.7,19,23,50,14,6,S?,30,30,0.0,160?,0.3?,0.0,30.0,0.5,2.6750712720272998e-20,10.0185008317962,0.0,7.722023121132105,79.1490672121993
206,53.6,-2.2,,9.69722220084718,,53.6-2.2,19,38,50,17,14,S,33,28,19.085448440346628,8,0.50,0.054786984307639536,30.5,0.5,1.3027944506626455e-21,9.69722220084718,0.0,8.121815165798624,73.9500195512311
207,54.4,-0.3,,9.637518795216073,,54.4-0.3,19,33,20,18,56,S,40,40,12.917187745506801,28,0.5,-0.9861525376446943,40.0,0.5,2.6332732834018727e-21,9.637518795216073,0.0,8.192571725157915,73.04019788701049
208,68.6,-1.2,,8.539772745643504,,68.6-1.2,20,8,40,30,37,?,23,23,0.5186392047999253,1.1,0.2,-0.2692885862169201,23.0,0.5,3.1289231560810795e-22,8.539772745643504,0.0,9.331252941205936,58.43899206287692
209,70.0,-21.5,,8.43006644521209,,70.0-21.5,21,24,0,19,23,S,330,240,0.0,?,?,0.0,285.0,,,8.43006644521209,0.0,9.430481415564595,57.14086809243303
210,74.0,-8.5,,8.11793360595882,,74.0-8.5,20,51,0,30,40,S,230,160,0.0,210,varies,0.0,195.0,0.5,8.586760706745238e-22,8.11793360595882,0.0,9.70047184260871,53.55631758910986
211,83.0,-0.3,,7.4328092008115725,,83.0-0.3,20,46,55,42,52,S,9,7,0.8966050062936677,1,0.4,0.32511465455000976,8.0,1.0,2.2649792708568497e-21,7.4328092008115725,0.0,10.234908274348667,46.12125018655468
212,84.2,-0.8,,7.34421063563333,,84.2-0.8,20,53,20,43,27,S,20,16,10.02751580587365,11,0.5,0.4215419905814646,18.0,1.0,4.9438567489212205e-21,7.34421063563333,0.0,10.298668367291484,45.19194549001369
213,85.9,-0.6,,7.2200931910921575,,85.9-0.6,20,58,40,44,53,S,24,24,2.4004660475678503,?,0.2,0.2486919598161485,24.0,,,7.2200931910921575,0.0,10.386060577136293,43.899249804350454
214,93.7,-0.2,,6.674880986289398,,93.7-0.2,21,29,20,50,50,S,80,80,56.6234695837799,65,0.65,0.2054648071084206,80.0,1.0,1.4297671120071776e-21,6.674880986289398,0.0,10.744578345327113,38.31157698146105
215,108.2,-0.6,,5.790607031797122,,108.2-0.6,22,53,40,58,50,S,70,54,7.715225459109464,8,0.5,0.4452388430675275,62.0,1.0,3.12792769040891e-22,5.790607031797122,0.0,11.245837905789934,29.284806122297386
216,109.1,-1.0,,5.741883317892232,,109.1-1.0,23,1,35,58,53,S,28,28,34.75956154783913,20,0.45,0.09555872351512476,28.0,0.5,3.8385907921310085e-21,5.741883317892232,0.0,11.270793049458005,28.77703259905675
217,111.7,-2.1,,5.6053197564859065,,111.7-2.1,23,23,26,58,48,S,5,5,0.0,2300,0.77,0.0,5.0,0.5,1.3843493832741269e-17,5.6053197564859065,0.0,11.339329364100365,27.34155554696834
218,152.4,-2.1,,4.237583034886178,,152.4-2.1,4,7,50,49,11,S,100,95,0.0,3.5?,0.7?,0.0,97.5,0.5,5.543733228214467e-23,4.237583034886178,0.0,11.918174777307339,9.481425635403689
219,178.2,-4.2,,4.00098706190307,,178.2-4.2,5,25,5,28,11,S,72,62,0.0,2,0.5,0.0,67.0,0.5,6.741611068617186e-23,4.00098706190307,0.0,11.999670934258333,0.6000767692264711
220,180.0,-1.7,,4.0,,180.0-1.7,5,39,0,27,50,S,180,180,71.35040691053506,65,varies,0.3645325274826738,180.0,1.0,3.166207087288237e-22,4.0,0.0,12.0,0.0
221,184.6,-5.8,,4.006450031073227,,184.6-5.8,5,34,31,22,1,F,7,5,0.0,900,0.30,0.0,6.0,0.5,3.8692995184680575e-18,4.006450031073227,0.0,11.997848063236727,-1.5346151307421814
222,190.9,-2.2,,4.036327792897948,,190.9-2.2,6,1,55,18,24,S,70,60,0.0,1.3?,0.7?,0.0,65.0,0.5,4.657490161118956e-23,4.036327792897948,0.0,11.987829576211016,-3.6504249043584847
223,213.0,-0.6,,4.3429727701519445,,213.0-0.6,6,50,50,0,30,S,160,140?,0.0,21,0.4,0.0,150.0,0.5,1.4106821161081458e-22,4.3429727701519445,0.0,11.880176241020953,-11.484380729490614
224,260.4,-3.4,,6.2931684742582075,,260.4-3.4,8,22,10,-43,0,S,60,50,69.16664138821596,130,0.5,1.1886918389962762,55.0,0.5,6.520486225566542e-21,6.2931684742582075,0.0,10.972512499633007,-34.4375471746358
225,263.9,-3.3,,6.51617363778189,,263.9-3.3,8,34,0,-45,50,C,255,255,1887.7646438322367,1750,varies,0.28062636671016544,255.0,1.0,4.209031009131588e-21,6.51617363778189,0.0,10.841562669757359,-36.70058146053192
226,266.2,-1.2,,6.668177483890549,,266.2-1.2,8,52,0,-46,20,S,120,120,0.0,50?,0.3?,0.0,120.0,0.5,5.224748578178317e-22,6.668177483890549,0.0,10.748739881648225,-38.2434669043705
227,272.2,-3.2,,7.083455852012881,,272.2-3.2,9,6,50,-52,7,S?,15?,15?,0.4160788351961224,0.4,0.6,0.5815813120060881,15.0,1.0,2.7288363096783097e-22,7.083455852012881,0.0,10.479725816670227,-42.48691009873511
228,284.3,-1.8,,7.9862912859161534,,284.3-1.8,10,18,15,-59,0,S,24?,24?,0.0,11?,0.3?,0.0,24.0,0.5,2.873611717998074e-21,7.9862912859161534,0.0,9.809136123864306,-52.08677239451557
229,286.5,-1.2,,8.156790362079223,,286.5-1.2,10,35,40,-59,42,S?,26,6,0.0,1.4?,?,0.0,16.0,0.5,1.3503965555907033e-21,8.156790362079223,0.0,9.667821418969815,-53.994553154515025
230,289.7,-0.3,,8.406577078860044,,289.7-0.3,11,1,15,-60,18,S,18,14,11.354699176950692,6.2,0.2?,0.2802637853703912,16.0,0.5,3.702107563966352e-21,8.406577078860044,0.0,9.451426443515546,-56.865690877070605
231,290.1,-0.8,,8.437898066441894,,290.1-0.8,11,3,5,-60,56,S,19,14,41.67329006571086,42,0.4,0.4437477223106229,16.5,1.0,2.3666448900576982e-20,8.437898066441894,0.0,9.423474742383307,-57.23282690754057
232,291.0,-0.1,,8.508416419602685,,291.0-0.1,11,11,54,-60,38,C,15,13,2.9949647459673203,16,0.29,9.0082670051023,14.0,0.5,1.2346482793972147e-20,8.508416419602685,0.0,9.359853098774328,-58.06573643099054
233,292.2,-0.5,,8.602499767233855,,292.2-0.5,11,19,20,-61,28,S,20,15,6.725998039703372,7,0.5,0.5445136453638604,17.5,1.0,3.442314659616892e-21,8.602499767233855,0.0,9.273456623866931,-59.19124272119353
234,296.1,-0.5,,8.907955303606972,,296.1-0.5,11,51,10,-62,34,S,37,25,2.470626609258714,8?,0.6?,1.755345501880263,31.0,0.5,1.3013860242294966e-21,8.907955303606972,0.0,8.980441654447759,-62.97130886564066
235,296.7,-0.9,,8.95480357039894,,296.7-0.9,11,55,30,-63,8,S,15,8,0.0,3,0.5,0.0,11.5,0.5,3.761818976288389e-21,8.95480357039894,0.0,8.933727834200592,-63.57001694324049
236,296.8,-0.3,,8.962605699707233,,296.8-0.3,11,58,30,-62,35,S,20,14,8.209038335510888,9,0.6,0.6723844694001376,17.0,1.0,4.624091926728516e-21,8.962605699707233,0.0,8.925900462786679,-63.670259492582105
237,298.5,-0.3,,9.094933651580565,,298.5-0.3,12,12,40,-62,52,?,5?,5?,0.0,5?,0.4?,0.0,5.0,0.5,3.009455181030711e-20,9.094933651580565,0.0,8.791028487802066,-65.3947210543907
238,299.2,-2.9,,9.149223903721447,,299.2-2.9,12,15,13,-65,30,S,18,11,0.0,0.5?,?,0.0,14.5,0.5,3.7998171477660484e-22,9.149223903721447,0.0,8.734512119149647,-66.1161522841408
239,299.6,-0.5,,9.180186740715351,,299.6-0.5,12,21,45,-63,9,S,13,13,0.0,1.0?,?,0.0,13.0,0.5,8.903713553345302e-22,9.180186740715351,0.0,8.701963652279527,-66.5314325074088
240,301.4,-1.0,,9.318899727380616,,301.4-1.0,12,37,55,-63,49,S,37,23,0.0,2.1?,?,0.0,30.0,0.5,3.7131938191330748e-22,9.318899727380616,0.0,8.553251304096326,-68.42808335076407
241,306.3,-0.9,,9.689778854704645,,306.3-0.9,13,21,50,-63,34,S?,4,4,0.0,0.16?,0.5?,0.0,4.0,0.5,1.5047275905153558e-21,9.689778854704645,0.0,8.130694050751067,-73.83572003032471
242,308.1,-0.7,,9.822851675560244,,308.1-0.7,13,37,37,-63,4,S,13,13,0.0,1.2?,?,0.0,13.0,0.5,1.068445626401436e-21,9.822851675560244,0.0,7.969415597140314,-75.91868802600432
243,308.4,-1.4,,9.844835209396914,,308.4-1.4,13,41,30,-63,44,S?,12,6?,0.3969829417932436,0.4?,?,0.5492300327184478,9.0,1.0,8.328070983933245e-22,9.844835209396914,0.0,7.942242737402253,-76.27121463036544
244,308.8,-0.1,,9.87405512418858,,308.8-0.1,13,42,30,-62,23,C?,30,20?,12.100924846634415,15?,0.4?,0.35932081473231897,25.0,1.0,3.398292445434495e-21,9.87405512418858,0.0,7.905886123925972,-76.7436918836059
245,309.2,-0.6,,9.903168168505884,,309.2-0.6,13,46,31,-62,54,S,15,12,5.731629986883661,7?,0.4?,0.6184364858269763,13.5,1.0,5.3215652537490274e-21,9.903168168505884,0.0,7.86938753819456,-77.21898972986914
246,310.6,-1.6,,10.004185526127829,,310.6-1.6,14,0,45,-63,26,C?,2.5,2.5,0.0,?,?,0.0,2.5,,,10.004185526127829,0.0,7.740560183786083,-78.9052339341097
247,310.6,-0.3,,10.004185526127829,,310.6-0.3,13,58,0,-62,9,S,8,8,0.0,5?,?,0.0,8.0,0.5,1.1755684300901215e-20,10.004185526127829,0.0,7.740560183786083,-78.9052339341097
248,310.8,-0.4,,10.0185008317962,,310.8-0.4,14,0,0,-62,17,S,12,12,0.0,6?,?,0.0,12.0,0.5,6.269698293813981e-21,10.0185008317962,0.0,7.722023121132105,-79.1490672121993
249,311.5,-0.3,,10.06836703837083,,311.5-0.3,14,5,38,-61,58,S,5,5,0.0,3?,0.5,0.0,5.0,0.5,1.8056731086184267e-20,10.06836703837083,0.0,7.6568913522818045,-80.0084118784885
250,312.4,-0.4,,10.13192133751385,,312.4-0.4,14,13,0,-61,44,S,38,38,40.027108535191594,45,0.36,0.3723809250987098,38.0,1.0,4.4301466812550706e-21,10.13192133751385,0.0,7.5725933477529095,-81.1270913239936
251,312.5,-3.0,,10.1389429794084,,312.5-3.0,14,21,0,-64,12,S,20,18,0.0,3.5?,?,0.0,19.0,0.5,1.4629296018899288e-21,10.1389429794084,0.0,7.5631894899113234,-81.25236526371572
252,315.4,-2.3,,10.33887833906392,,315.4-2.3,14,43,0,-62,30,S,42,42,49.34282768224582,49,0.6,0.6197013366030569,42.0,1.0,4.194420809035503e-21,10.33887833906392,0.0,7.287495776330503,-84.97393750752038
253,315.4,-0.3,,10.33887833906392,,315.4-0.3,14,35,55,-60,36,?,24,13,8.441359566744207,8,0.4,0.7058822200215542,18.5,1.0,3.964706308599937e-21,10.33887833906392,0.0,7.287495776330503,-84.97393750752038
254,317.3,-0.2,,10.465719195835847,,317.3-0.2,14,49,40,-59,46,S,11,11,0.0,4.7?,?,0.0,11.0,0.5,5.844809649109233e-21,10.465719195835847,0.0,7.104134128372937,-87.51039584173188
255,320.4,-1.2,,10.66486580782053,,320.4-1.2,15,14,30,-59,8,C,35,35,58.733198363926576,60?,0.4,0.3127441255688527,35.0,1.0,7.29229059136053e-21,10.66486580782053,0.0,6.801517279341468,-91.83185453469171
256,320.6,-1.6,,10.677361306078808,,320.6-1.6,15,17,50,-59,16,S,60,30,0.0,?,?,0.0,45.0,,,10.677361306078808,0.0,6.781884364942461,-92.11895543414892
257,321.9,-1.1,,10.757488287400221,,321.9-1.1,15,23,45,-58,13,S,28,28,0.0,&gt;3.4?,?,0.0,28.0,0.5,6.5256043466227145e-22,10.757488287400221,0.0,6.654054834944406,-94.01105622705411
258,321.9,-0.3,,10.757488287400221,,321.9-0.3,15,20,40,-57,34,S,31,23,13.488295765244606,13,0.3,0.3403042709012745,27.0,1.0,2.7950679848313188e-21,10.757488287400221,0.0,6.654054834944406,-94.01105622705411
259,322.5,-0.1,,10.793817048688332,,322.5-0.1,15,23,23,-57,6,C,15,15,0.7788724648843207,1.5,0.4,5.439093235968031,15.0,0.5,1.0031517270102369e-21,10.793817048688332,0.0,6.594961221981902,-94.89990856786841
260,323.7,-1.0,,10.86520031003734,,323.7-1.0,15,34,30,-57,12,S,51,38,0.0,?,?,0.0,44.5,,,10.86520031003734,0.0,6.476682964509264,-96.70830921716828
261,326.3,-1.8,,11.013801303838603,,326.3-1.8,15,53,0,-56,10,C,38,38,146.66354492239296,145,varies,0.2397888998503543,38.0,1.0,1.5196474487265913e-20,11.013801303838603,0.0,6.220625437973506,-100.7751379826349
262,327.1,-1.1,,11.057790094209725,,327.1-1.1,15,54,25,-55,9,C,18,18,10.124125697458695,7?,?,0.012419978350285805,18.0,1.0,3.9764111729041824e-21,11.057790094209725,0.0,6.142090705321538,-102.06989232721071
263,327.2,-0.1,,11.06322969389755,,327.2-0.1,15,50,55,-54,18,S,5,5,0.420994371402524,0.4,?,1.0070280768158937,5.0,1.0,2.470745764614377e-21,11.06322969389755,0.0,6.132287398684403,-102.23323956491829
264,332.4,-0.4,,11.327211668735893,,332.4-0.4,16,17,33,-51,2,S,10,10,0.0,28,0.5,0.0,10.0,0.5,4.2132372534429975e-20,11.327211668735893,0.0,5.629766941148933,-111.22569286857457
265,332.5,-5.6,,11.331912003933413,,332.5-5.6,16,43,20,-54,30,S,35,35,2.4078948683702315,2?,0.7?,0.7040669488374097,35.0,1.0,2.7072167447051997e-22,11.331912003933413,0.0,5.620299843879313,-111.4088886499728
266,337.0,-0.1,,11.527863343156811,,337.0-0.1,16,35,57,-47,36,S,1.5,1.5,0.0,1.5,0.6?,0.0,1.5,0.5,1.0031517270102373e-19,11.527863343156811,0.0,5.20656957520991,-120.10386194107565
267,337.2,-0.7,,11.535847775056133,,337.2-0.7,16,39,28,-47,51,S,6,6,1.7268894771417902,1.5,0.4,0.8796883790102656,6.0,1.0,6.7438744830540564e-21,11.535847775056133,0.0,5.1888549903357815,-120.51191925235342
268,337.8,-0.1,,11.559421585253945,,337.8-0.1,16,39,1,-46,59,S,9,6,0.0,15,0.5,0.0,7.5,0.5,4.179798862542655e-20,11.559421585253945,0.0,5.136124279489864,-121.74774773992357
269,341.9,-0.3,,11.704953694904079,,341.9-0.3,16,55,1,-44,1,S,7,7,2.2120541678380308,2.5,0.5,1.3469313995246814,7.0,1.0,7.235059096274245e-21,11.704953694904079,0.0,4.795212091258462,-130.68097156676382
270,342.0,-0.2,,11.708157742200575,,342.0-0.2,16,54,50,-43,53,S,12,9,4.544600221411726,3.5?,0.4?,-0.08668364271752313,10.5,0.5,4.8764320062997636e-21,11.708157742200575,0.0,4.787383657463511,-130.90988491572858
271,343.0,-6.0,,11.739276174292765,,343.0-6.0,17,25,0,-46,30,S,250,250,0.0,?,?,0.0,250.0,,,11.739276174292765,0.0,4.7105620581499865,-133.2287729235893
272,343.1,-2.3,,11.742295445043109,,343.1-2.3,17,8,0,-44,16,C?,32?,32?,0.0,8?,0.5?,0.0,32.0,0.5,1.1755684300901214e-21,11.742295445043109,0.0,4.703030691088446,-133.46365112474732
273,343.1,-0.7,,11.742295445043109,,343.1-0.7,17,0,25,-43,14,S,27,21,0.0,7.8,0.55,0.0,24.0,0.5,2.0699956271639807e-21,11.742295445043109,0.0,4.703030691088446,-133.46365112474732
274,344.7,-0.1,,11.788295008746884,,344.7-0.1,17,3,51,-41,42,C?,8,8,2.2022865824715083,2.5?,0.3?,0.8452804642395588,8.0,1.0,5.527859655589874e-21,11.788295008746884,0.0,4.5865129223358,-137.2961707195276
275,345.7,-0.2,,11.814819994805488,,345.7-0.2,17,7,20,-40,53,S,6,6,0.0,0.6?,?,0.0,6.0,0.5,2.5078793175255925e-21,11.814819994805488,0.0,4.517745952390909,-139.76287868055968
276,346.6,-0.2,,11.837214923308562,,346.6-0.2,17,10,19,-40,11,S,8,8,9.037828502275262,8?,0.5?,0.5544701180324857,8.0,1.0,2.0029133304564452e-20,11.837214923308562,0.0,4.458737810120832,-142.0297277586497
277,347.3,-0.5,,11.85365893240014,,347.3-0.5,17,13,50,-39,45,S?,65,55,0.0,30?,?,0.0,60.0,0.5,1.2627084675653335e-21,11.85365893240014,0.0,4.414835208060482,-143.8232322195001
278,349.2,-0.1,,11.893959853594511,,349.2-0.1,17,17,15,-38,4,S,9,6,0.0,1.4?,?,0.0,7.5,0.5,3.90114560503981e-21,11.893959853594511,0.0,4.30508060331999,-148.82243692643866
279,350.0,-2.0,,11.909020279418908,,350.0-2.0,17,27,50,-38,32,S,45,45,31.173453629270803,26,0.4,0.515796577130645,45.0,1.0,2.1242092128645447e-21,11.909020279418908,0.0,4.263242426180941,-150.9828081011639
280,350.1,-0.3,,11.910822875696182,,350.1-0.3,17,21,5,-37,27,?,4?,4?,0.0,6?,0.8?,0.0,4.0,0.5,5.642728464432584e-20,11.910822875696182,0.0,4.258203661615129,-151.25508100481468
281,351.0,-5.4,,11.926244076459605,,351.0-5.4,17,46,0,-39,25,S,30,30,0.0,?,?,0.0,30.0,,,11.926244076459605,0.0,4.214819358965719,-153.72713073389775
282,351.9,-0.9,,11.940216778140387,,351.9-0.9,17,28,52,-36,16,S,12,9,0.0,1.8?,?,0.0,10.5,0.5,2.5078793175255925e-21,11.940216778140387,0.0,4.175071651003696,-156.23658104045552
283,352.7,-0.1,,11.951416030486367,,352.7-0.1,17,27,40,-35,7,S,8,6,4.125808887398036,4,0.6,0.9414615514780956,7.0,1.0,1.2736592529294492e-20,11.951416030486367,0.0,4.142904158465825,-158.4966920387594
284,353.6,-0.7,,11.962636689488573,,353.6-0.7,17,32,0,-34,44,S,30,30,0.0,2.5?,?,0.0,30.0,0.5,4.179798862542656e-22,11.962636689488573,0.0,4.110392126707849,-161.07001836295495
285,353.9,-2.0,,11.966051743003506,,353.9-2.0,17,38,55,-35,11,S,13,13,0.0,1?,0.5?,0.0,13.0,0.5,8.903713553345302e-22,11.966051743003506,0.0,4.1004396939551215,-161.9345220833469
286,354.8,-0.8,,11.975319108401004,,354.8-0.8,17,36,0,-33,42,S,19,19,0.0,2.8?,?,0.0,19.0,0.5,1.1671017322556772e-21,11.975319108401004,0.0,4.073295011654061,-164.54651094363226
287,355.9,-2.5,,11.984649612923011,,355.9-2.5,17,45,53,-33,43,S,13,13,7.306638648550316,8,0.5,0.5808886309191262,13.0,1.0,6.814296299562822e-21,11.984649612923011,0.0,4.04575996018848,-167.77243412526542
288,356.3,-1.5,,11.987496969816663,,356.3-1.5,17,42,35,-32,52,S,20,15,0.0,3?,?,0.0,17.5,0.5,1.5047275905153558e-21,11.987496969816663,0.0,4.0373154940673395,-168.9533757394835
289,356.3,-0.3,,11.987496969816663,,356.3-0.3,17,37,56,-32,16,S,11,7,0.0,3?,?,0.0,9.0,0.5,5.862575027981905e-21,11.987496969816663,0.0,4.0373154940673395,-168.9533757394835
290,357.7,-0.1,,11.995166857534134,,357.7-0.1,17,40,29,-30,58,?,8,3?,36.10423071571688,37,0.4,0.45318041986005003,5.5,1.0,2.291707352944569e-19,11.995166857534134,0.0,4.014470333669766,-173.1129131390461
291,358.1,1.0,,11.996701522378585,,358.1+1.0,17,37,0,-29,59,S,20,20,0.0,2?,?,0.0,20.0,0.5,7.523637952576779e-22,11.996701522378585,0.0,4.0098818664593265,-174.30729012217748
292,358.5,-0.9,,11.997944037930518,,358.5-0.9,17,46,10,-30,40,S,17,17,0.0,4?,?,0.0,17.0,0.5,2.082667945349973e-21,11.997944037930518,0.0,4.006162610614743,-175.5035913291991
293,359.0,-0.9,,11.999086188336587,,359.0-0.9,17,46,50,-30,16,S,23,23,0.0,23,0.5,0.0,23.0,0.5,6.5422938718058934e-21,11.999086188336587,0.0,4.002740391890314,-177.00106524270262
294,359.1,-0.5,,11.999259806304975,,359.1-0.5,17,45,30,-29,57,S,24,24,6.535742397440032,14,0.4?,-0.4279307268696392,24.0,0.5,3.6573240047248225e-21,11.999259806304975,0.0,4.002219896606623,-177.30077668901288
